1.500000000000000000e+00,3.815142215201656750e-01,1.168719196621825995e+00
1.750000000000000000e+00,4.390185322252748157e-01,1.082090244538647550e+00
1.800000000000000044e+00,4.042605411039315033e-01,1.078115250887790477e+00
1.850000000000000089e+00,2.915508740536376098e-01,1.007285724558927287e+00
1.899999999999999911e+00,4.052003450240483917e-01,1.011412343539275227e+00
1.949999999999999956e+00,4.004268554546303038e-01,9.123157080814928710e-01
2.000000000000000000e+00,3.772644565119230853e-01,9.507547093777983793e-01
2.049999999999999822e+00,4.090185191162724054e-01,9.686700318495118367e-01
2.100000000000000089e+00,3.421792009536856471e-01,9.884074826419235738e-01
2.149999999999999911e+00,3.291096882803237200e-01,9.963210760700498270e-01
2.200000000000000178e+00,3.709340644126203901e-01,9.760596585516359003e-01
2.250000000000000000e+00,4.949515761581543272e-01,9.574151536668982221e-01
2.500000000000000000e+00,3.921210054384944854e-01,8.918476729183021368e-01
